date,number of daily cases,number of daily deaths
Feb 15  2020,0,0
Feb 16  2020,0,0
Feb 17  2020,0,0
Feb 18  2020,0,0
Feb 19  2020,0,0
Feb 20  2020,0,0
Feb 21  2020,0,0
Feb 22  2020,0,0
Feb 23  2020,0,0
Feb 24  2020,0,0
Feb 25  2020,2,0
Feb 26  2020,4,1
Feb 27  2020,19,0
Feb 28  2020,18,0
Feb 29  2020,39,0
Mar 01  2020,27,0
Mar 02  2020,56,1
Mar 03  2020,20,1
Mar 04  2020,67,0
Mar 05  2020,126,3
Mar 06  2020,209,2
Mar 07  2020,269,7
Mar 08  2020,236,3
Mar 09  2020,185,11
Mar 10  2020,338,3
Mar 11  2020,452,15
Mar 12  2020,540,13
Mar 13  2020,714,18
Mar 14  2020,761,12
Mar 15  2020,840,36
Mar 16  2020,1100,21
Mar 17  2020,997,27
Mar 18  2020,1277,89
Mar 19  2020,1691,108
Mar 20  2020,1469,78
Mar 21  2020,1678,112
Mar 22  2020,1417,112
Mar 23  2020,3488,186
Mar 24  2020,2224,240
Mar 25  2020,2662,231
Mar 26  2020,3564,365
Mar 27  2020,3462,299
Mar 28  2020,4191,319
Mar 29  2020,2362,292
Mar 30  2020,3977,418
Mar 31  2020,6887,498
Apr 01  2020,4418,508
Apr 02  2020,1923,1354
Apr 03  2020,4755,1119
Apr 04  2020,3877,1052
Apr 05  2020,1703,517
Apr 06  2020,3555,832
Apr 07  2020,3432,1416
Apr 08  2020,3526,540
Apr 09  2020,3895,1339
Apr 10  2020,3946,986
Apr 11  2020,2829,634
Apr 12  2020,1466,561
Apr 13  2020,2428,574
Apr 14  2020,4996,761
Apr 15  2020,2393,1437
Apr 16  2020,2400,752
Apr 17  2020,368,760
Apr 18  2020,2335,641
Apr 19  2020,714,395
Apr 20  2020,1864,546
Apr 21  2020,2423,530
Apr 22  2020,1661,543
Apr 23  2020,1502,515
Apr 24  2020,1611,389
Apr 25  2020,1397,369
Apr 26  2020,419,242
Apr 27  2020,3420,436
Apr 28  2020,1381,367
Apr 29  2020,1675,426
Apr 30  2020,1061,289
May 01  2020,563,218
May 02  2020,740,166
May 03  2020,287,135
May 04  2020,537,306
May 05  2020,1029,330
May 06  2020,3898,278
May 07  2020,586,178
May 08  2020,598,243
May 09  2020,403,80
May 10  2020,195,70
May 11  2020,425,263
May 12  2020,659,348
May 13  2020,473,83
May 14  2020,580,351
May 15  2020,524,104
May 16  2020,347,96
May 17  2020,112,146
May 18  2020,459,131
May 19  2020,489,119
May 20  2020,389,110
May 21  2020,296,83
May 22  2020,366,74
May 23  2020,233,43
May 24  2020,107,35
May 25  2020,334,65
May 26  2020,257,98
May 27  2020,178,66
May 28  2020,3098,66
May 29  2020,556,52
May 30  2020,1703,57
May 31  2020,239,31
Jun 01  2020,315,31
Jun 02  2020,283,107
Jun 03  2020,330,81
Jun 04  2020,720,44
Jun 05  2020,573,46
Jun 06  2020,543,31
Jun 07  2020,322,13
Jun 08  2020,198,54
Jun 09  2020,378,87
Jun 10  2020,511,23
Jun 11  2020,399,27
Jun 12  2020,681,28
Jun 13  2020,494,24
Jun 14  2020,382,9
Jun 15  2020,143,29
Jun 16  2020,323,111
Jun 17  2020,430,28
Jun 18  2020,438,28
Jun 19  2020,761,14
Jun 20  2020,602,16
Jun 21  2020,267,7
Jun 22  2020,350,23
Jun 23  2020,485,57
Jun 24  2020,76,11
Jun 25  2020,0,21
Jun 26  2020,1490,26
Jun 27  2020,490,8
Jun 28  2020,490,9
Jun 29  2020,263,18
Jun 30  2020,508,30
Jul 01  2020,861,18
Jul 02  2020,618,14
Jul 03  2020,546,18
Jul 04  2020,526,7
Jul 05  2020,600,7
Jul 06  2020,165,13
Jul 07  2020,446,13
Jul 08  2020,622,32
Jul 09  2020,583,14
Jul 10  2020,617,25
Jul 11  2020,628,4
Jul 12  2020,627,3
Jul 13  2020,270,18
Jul 14  2020,480,71
Jul 15  2020,390,20
Jul 16  2020,501,18
Jul 17  2020,785,14
Jul 18  2020,812,9
Jul 19  2020,812,8
Jul 20  2020,328,8
Jul 21  2020,548,13
Jul 22  2020,937,7
Jul 23  2020,997,10
Jul 24  2020,1060,10
Jul 25  2020,956,4
Jul 26  2020,955,4
Jul 27  2020,482,9
Jul 28  2020,680,14
Jul 29  2020,1306,15
Jul 30  2020,1292,16
Jul 31  2020,1263,11
Aug 01  2020,0,3
Aug 02  2020,2646,4
Aug 03  2020,522,22
Aug 04  2020,975,2
Aug 05  2020,1591,9
Aug 06  2020,1505,7
Aug 07  2020,2147,12
Aug 08  2020,1910,1
Aug 09  2020,1909,1
Aug 10  2020,737,14
Aug 11  2020,1311,14
Aug 12  2020,2369,17
Aug 13  2020,2505,17
Aug 14  2020,2671,17
Aug 15  2020,3106,4
Aug 16  2020,2829,1
Aug 17  2020,463,24
Aug 18  2020,2100,17
Aug 19  2020,3544,17
Aug 20  2020,4477,12
Aug 21  2020,4304,23
Aug 22  2020,3380,9
Aug 23  2020,4596,1
Aug 24  2020,1835,15
Aug 25  2020,3101,16
Aug 26  2020,5095,0
Aug 27  2020,5735,32
Aug 28  2020,6925,20
Aug 29  2020,5117,6
Aug 30  2020,5080,4
Aug 31  2020,2892,29
Sep 01  2020,4675,26
Sep 02  2020,6585,25
Sep 03  2020,6716,0
Sep 04  2020,8423,0
Sep 05  2020,8024,12
Sep 06  2020,6636,3
Sep 07  2020,3944,25
Sep 08  2020,6141,38
Sep 09  2020,8049,30
Sep 10  2020,9237,19
Sep 11  2020,8827,80
Sep 12  2020,9911,17
Sep 13  2020,6741,6
Sep 14  2020,5779,34
Sep 15  2020,7369,49
Sep 16  2020,9182,46
Sep 17  2020,9941,50
Sep 18  2020,12402,153
Sep 19  2020,12667,26
Sep 20  2020,9918,11
Sep 21  2020,4972,53
Sep 22  2020,9392,78
Sep 23  2020,12267,43
Sep 24  2020,15105,52
Sep 25  2020,14825,150
Sep 26  2020,13525,39
Sep 27  2020,10438,27
Sep 28  2020,3819,81
Sep 29  2020,7555,85
Sep 30  2020,12054,63
Oct 01  2020,13110,63
Oct 02  2020,11400,130
Oct 03  2020,15927,49
Oct 04  2020,11792,32
Oct 05  2020,4771,69
Oct 06  2020,9843,66
Oct 07  2020,17592,80
Oct 08  2020,17013,76
Oct 09  2020,19087,109
Oct 10  2020,25240,54
Oct 11  2020,15110,46
Oct 12  2020,7981,95
Oct 13  2020,12193,108
Oct 14  2020,21200,104
Oct 15  2020,28736,88
Oct 16  2020,23542,178
Oct 17  2020,30431,89
Oct 18  2020,28000,85
Oct 19  2020,12428,146
Oct 20  2020,19208,262
Oct 21  2020,25034,163
Oct 22  2020,39060,162
Oct 23  2020,39445,298
Oct 24  2020,42626,137
Oct 25  2020,48808,116
Oct 26  2020,25123,257
Oct 27  2020,31360,523
Oct 28  2020,34194,244
Oct 29  2020,44705,235
Oct 30  2020,46185,545
Oct 31  2020,33447,223
Nov 01  2020,45258,231
Nov 02  2020,51104,467
Nov 03  2020,35912,906
Nov 04  2020,39880,437
Nov 05  2020,56292,415
Nov 06  2020,58581,880
Nov 07  2020,83324,356
Nov 08  2020,38059,322
Nov 09  2020,20732,548
Nov 10  2020,22632,857
Nov 11  2020,35488,328
Nov 12  2020,32948,425
Nov 13  2020,24147,932
Nov 14  2020,31937,552
Nov 15  2020,27370,500
Nov 16  2020,10645,704
Nov 17  2020,13630,625
Nov 18  2020,26636,677
Nov 19  2020,19848,681
Nov 20  2020,21473,634
Nov 21  2020,16780,390
Nov 22  2020,12347,352
Nov 23  2020,4178,638
Nov 24  2020,8591,592
Nov 25  2020,15280,569
Nov 26  2020,12728,527
Nov 27  2020,11692,581
Nov 28  2020,11806,316
Nov 29  2020,9182,301
Nov 30  2020,3758,509
Dec 01  2020,7585,466
Dec 02  2020,13198,425
Dec 03  2020,11914,439
Dec 04  2020,10530,397
Dec 05  2020,12127,327
Dec 06  2020,10344,287
Dec 07  2020,3201,480
Dec 08  2020,12869,491
Dec 09  2020,13697,403
Dec 10  2020,12904,400
Dec 11  2020,12581,412
Dec 12  2020,13088,314
Dec 13  2020,10823,271
Dec 14  2020,2874,492
Dec 15  2020,10822,428
Dec 16  2020,16531,407
Dec 17  2020,17130,376
Dec 18  2020,14709,374
Dec 19  2020,16484,294
Dec 20  2020,12011,236
Dec 21  2020,5440,456
Dec 22  2020,11069,487
Dec 23  2020,14010,359
Dec 24  2020,20302,373
Dec 25  2020,19015,242
Dec 26  2020,2903,230
Dec 27  2020,8279,257
Dec 28  2020,2778,447
Dec 29  2020,10694,468
Dec 30  2020,24828,377
Dec 31  2020,18700,325
Jan 01  2021,18157,207
Jan 02  2021,3253,231
Jan 03  2021,11720,191
Jan 04  2021,3774,453
Jan 05  2021,19228,420
Jan 06  2021,23817,387
Jan 07  2021,20367,381
Jan 08  2021,18594,381
Jan 09  2021,18935,264
Jan 10  2021,14963,248
Jan 11  2021,3362,407
Jan 12  2021,18536,452
Jan 13  2021,22384,347
Jan 14  2021,19921,401
Jan 15  2021,19962,399
Jan 16  2021,20088,264
Jan 17  2021,15618,213
Jan 18  2021,3506,475
Jan 19  2021,22155,441
Jan 20  2021,25135,420
Jan 21  2021,21442,456
Jan 22  2021,21858,429
Jan 23  2021,22451,295
Jan 24  2021,17301,237
Jan 25  2021,3979,510
Jan 26  2021,20726,417
Jan 27  2021,25259,505
Jan 28  2021,22307,499
Jan 29  2021,21451,510
Jan 30  2021,22890,322
Jan 31  2021,18051,275
Feb 01  2021,4079,536
Feb 02  2021,21900,485
Feb 03  2021,24739,476
Feb 04  2021,22005,476
Feb 05  2021,20776,413
Feb 06  2021,19319,263
Feb 07  2021,18501,243
Feb 08  2021,4051,530
Feb 09  2021,17708,508
Feb 10  2021,23824,404
Feb 11  2021,19766,468
Feb 12  2021,19427,429
Feb 13  2021,19924,257
Feb 14  2021,15527,226
Feb 15  2021,4107,471
Feb 16  2021,18384,410
Feb 17  2021,23478,391
Feb 18  2021,21116,352
Feb 19  2021,22631,409
Feb 20  2021,20994,213
Feb 21  2021,20689,163
Feb 22  2021,4360,363
Feb 23  2021,18829,341
Feb 24  2021,29579,370
Feb 25  2021,23839,354
Feb 26  2021,23655,379
Feb 27  2021,22519,214
Feb 28  2021,18724,125
Mar 01  2021,4413,404
Mar 02  2021,21450,330
Mar 03  2021,25139,389
Mar 04  2021,23723,360
Mar 05  2021,22060,305
Mar 06  2021,21871,187
Mar 07  2021,20482,147
Mar 08  2021,4999,377
Mar 09  2021,21868,316
Mar 10  2021,28438,295
Mar 11  2021,25494,296
Mar 12  2021,23676,254
Mar 13  2021,27927,192
Mar 14  2021,24721,137
Mar 15  2021,6073,357
Mar 16  2021,28130,338
Mar 17  2021,36131,300
Mar 18  2021,32844,327
Mar 19  2021,32911,362
Mar 20  2021,33169,244
Mar 21  2021,28699,170
Mar 22  2021,35259,402
Mar 23  2021,23350,347
Mar 24  2021,31334,305
Mar 25  2021,42831,285
Mar 26  2021,39292,363
Mar 27  2021,39995,201
Mar 28  2021,34736,142
Mar 29  2021,26843,371
Mar 30  2021,26580,348
Mar 31  2021,39327,325
Apr 01  2021,47541,314
Apr 02  2021,43804,304
Apr 03  2021,18571,213
Apr 04  2021,57172,185
Apr 05  2021,11576,197
Apr 06  2021,54241,414
Apr 07  2021,28890,431
Apr 08  2021,14892,374
Apr 09  2021,38704,301
Apr 10  2021,40620,179
Apr 11  2021,32747,176
Apr 12  2021,8011,385
Apr 13  2021,36705,351
Apr 14  2021,40827,303
Apr 15  2021,35703,302
Apr 16  2021,34199,313
Apr 17  2021,33653,189
Apr 18  2021,27538,140
Apr 19  2021,6847,489
Apr 20  2021,39882,346
Apr 21  2021,32815,313
Apr 22  2021,32205,283
Apr 23  2021,30349,332
Apr 24  2021,30624,217
Apr 25  2021,22959,152
Apr 26  2021,5586,405
Apr 27  2021,28451,333
Apr 28  2021,29598,322
Apr 29  2021,24904,313
Apr 30  2021,22803,276
May 01  2021,24090,195
May 02  2021,9279,116
May 03  2021,3529,315
May 04  2021,22871,247
May 05  2021,24400,252
May 06  2021,20375,227
May 07  2021,17947,235
May 08  2021,19468,179
May 09  2021,8566,119
May 10  2021,3089,296
May 11  2021,18573,240
May 12  2021,20175,184
May 13  2021,18263,131
May 14  2021,6593,173
May 15  2021,14719,122
May 16  2021,13089,91
May 17  2021,3144,206
May 18  2021,16151,198
May 19  2021,17877,146
May 20  2021,15415,138
May 21  2021,12800,113
May 22  2021,12611,95
May 23  2021,9704,76
May 24  2021,2229,68
May 25  2021,3155,203
May 26  2021,12646,153
May 27  2021,13933,151
May 28  2021,11268,107
May 29  2021,10675,69
May 30  2021,8541,46
May 31  2021,1211,128
Jun 01  2021,9848,129
Jun 02  2021,8743,98
Jun 03  2021,8161,72
Jun 04  2021,6953,84
Jun 05  2021,6654,57
Jun 06  2021,5070,26
Jun 07  2021,1166,65
Jun 08  2021,6016,73
Jun 09  2021,5557,66
Jun 10  2021,4475,70
Jun 11  2021,3871,71
Jun 12  2021,3972,34
Jun 13  2021,2855,13
Jun 14  2021,689,63
Jun 15  2021,3235,80
Jun 16  2021,3058,50
Jun 17  2021,2044,62
Jun 18  2021,3181,56
Jun 19  2021,2624,22
Jun 20  2021,1815,14
Jun 21  2021,487,40
Jun 22  2021,2204,51
Jun 23  2021,2320,33
Jun 24  2021,2007,44
Jun 25  2021,1986,33
Jun 26  2021,2128,16
Jun 27  2021,1578,21
Jun 28  2021,509,48
Jun 29  2021,2314,33
Jun 30  2021,2457,25
Jul 01  2021,2664,29
Jul 02  2021,2683,24
Jul 03  2021,3006,17
Jul 04  2021,2549,9
Jul 05  2021,796,36
Jul 06  2021,3585,34
Jul 07  2021,4081,28
Jul 08  2021,4442,25
Jul 09  2021,4580,18
Jul 10  2021,4696,19
Jul 11  2021,4256,4
Jul 12  2021,1260,28
Jul 13  2021,6950,54
Jul 14  2021,8875,6
Jul 15  2021,3617,16
Jul 16  2021,10908,22
Jul 17  2021,10949,16
Jul 18  2021,12532,5
Jul 19  2021,4151,20
Jul 20  2021,18181,33
Jul 21  2021,21539,29
Jul 22  2021,21909,11
Jul 23  2021,19561,26
Jul 24  2021,25624,25
Jul 25  2021,15242,7
Jul 26  2021,5307,50
Jul 27  2021,26871,31
Jul 28  2021,27934,44
Jul 29  2021,25190,32
Jul 30  2021,24309,66
Jul 31  2021,23471,47
Aug 01  2021,19600,20
Aug 02  2021,5184,56
Aug 03  2021,26829,63
Aug 04  2021,28784,59
Aug 05  2021,26460,57
Aug 06  2021,25077,66
Aug 07  2021,25755,35
Aug 08  2021,20450,33
Aug 09  2021,5775,75
Aug 10  2021,28576,75
Aug 11  2021,30920,60
Aug 12  2021,28554,85
Aug 13  2021,26453,82
Aug 14  2021,24427,56
Aug 15  2021,21172,49
Aug 16  2021,5829,107
Aug 17  2021,28114,123
Aug 18  2021,28405,124
Aug 19  2021,23973,140
Aug 20  2021,22319,92
Aug 21  2021,22636,89
Aug 22  2021,17300,49
Aug 23  2021,5166,119
Aug 24  2021,24853,169
Aug 25  2021,23706,102
Aug 26  2021,19683,110
Aug 27  2021,18249,109
Aug 28  2021,17590,85
Aug 29  2021,13630,61
Aug 30  2021,3795,112
Aug 31  2021,19425,136
Sep 01  2021,17621,86
Sep 02  2021,15911,103
Sep 03  2021,13466,93
Sep 04  2021,13336,83
Sep 05  2021,10410,49
Sep 06  2021,3042,102
Sep 07  2021,14534,152
Sep 08  2021,12828,100
Sep 09  2021,10969,103
Sep 10  2021,9966,80
Sep 11  2021,9601,46
Sep 12  2021,7679,29
Sep 13  2021,2062,86
Sep 14  2021,10327,147
Sep 15  2021,9144,79
Sep 16  2021,8128,65
Sep 17  2021,7373,66
Sep 18  2021,7414,42
Sep 19  2021,5814,28
Sep 20  2021,1515,68
Sep 21  2021,7851,153
Sep 22  2021,6794,58
Sep 23  2021,6229,62
Sep 24  2021,5879,49
Sep 25  2021,6012,29
Sep 26  2021,4706,14
Sep 27  2021,1309,92
Sep 28  2021,6765,60
Sep 29  2021,5835,42
Sep 30  2021,5204,56
Oct 01  2021,4935,46
Oct 02  2021,4948,30
Oct 03  2021,3744,9
Oct 04  2021,1138,50
Oct 05  2021,5558,75
Oct 06  2021,4946,34
Oct 07  2021,4615,34
Oct 08  2021,4470,38
Oct 09  2021,4734,15
Oct 10  2021,3991,8
Oct 11  2021,1120,30
Oct 12  2021,5880,68
Oct 13  2021,5578,23
Oct 14  2021,5187,38
Oct 15  2021,6099,34
Oct 16  2021,4899,15
Oct 17  2021,3778,5
Oct 18  2021,1057,41
Oct 19  2021,5934,49
Oct 20  2021,6036,21
Oct 21  2021,6127,35
Oct 22  2021,6366,29
Oct 23  2021,6291,23
Oct 24  2021,5005,4
Oct 25  2021,1295,41
Oct 26  2021,6603,47
Oct 27  2021,6528,34
Oct 28  2021,6461,33
Oct 29  2021,6433,27
Oct 30  2021,7360,22
Oct 31  2021,6329,12
Nov 01  2021,1866,6
Nov 02  2021,2039,74
Nov 03  2021,10050,39
Nov 04  2021,9502,47
Nov 05  2021,8998,26
Nov 06  2021,9605,25
Nov 07  2021,8547,10
Nov 08  2021,2197,55
Nov 09  2021,12476,58
Nov 10  2021,11883,33
Nov 11  2021,12603,17
Nov 12  2021,3860,48
Nov 13  2021,14646,16
Nov 14  2021,12496,17
Nov 15  2021,3241,70
Nov 16  2021,19778,47
Nov 17  2021,20294,50
Nov 18  2021,20366,52
Nov 19  2021,21220,50
Nov 20  2021,22678,23
Nov 21  2021,19749,15
Nov 22  2021,5266,94
Nov 23  2021,30454,98
Nov 24  2021,32591,81
Nov 25  2021,33464,43
Nov 26  2021,34436,60
Nov 27  2021,37218,34
Nov 28  2021,31648,23
Nov 29  2021,8279,122
Nov 30  2021,47177,115
Dec 01  2021,49610,96
Dec 02  2021,48416,103
Dec 03  2021,49858,127
Dec 04  2021,51624,49
Dec 05  2021,42252,29
Dec 06  2021,11308,192
Dec 07  2021,59019,172
Dec 08  2021,61340,133
Dec 09  2021,56854,136
Dec 10  2021,55339,150
Dec 11  2021,53720,65
Dec 12  2021,43848,48
Dec 13  2021,12036,243
Dec 14  2021,63405,158
Dec 15  2021,65713,151
Dec 16  2021,60866,188
Dec 17  2021,58128,162
Dec 18  2021,58536,85
Dec 19  2021,48473,75
Dec 20  2021,15075,224
Dec 21  2021,72832,229
Dec 22  2021,84272,170
Dec 23  2021,91608,179
Dec 24  2021,94124,167
Dec 25  2021,104611,84
Dec 26  2021,27697,96
Dec 27  2021,30383,256
Dec 28  2021,179807,290
Dec 29  2021,208099,184
Dec 30  2021,206243,180
Dec 31  2021,232200,189
Jan 01  2022,219126,110
Jan 02  2022,58432,91
Jan 03  2022,67461,270
Jan 04  2022,271686,351
Jan 05  2022,332252,246
Jan 06  2022,261481,204
Jan 07  2022,328214,193
Jan 08  2022,303669,142
Jan 09  2022,296097,90
Jan 10  2022,93896,280
Jan 11  2022,368149,341
Jan 12  2022,361719,246
Jan 13  2022,305322,225
Jan 14  2022,329371,191
Jan 15  2022,324580,148
Jan 16  2022,278129,98
Jan 17  2022,102144,296
Jan 18  2022,464769,375
Jan 19  2022,436167,231
Jan 20  2022,425183,245
Jan 21  2022,400851,233
Jan 22  2022,389320,167
Jan 23  2022,301614,115
Jan 24  2022,108481,393
Jan 25  2022,501635,467
Jan 26  2022,428008,258
Jan 27  2022,392168,268
Jan 28  2022,353503,263
Jan 29  2022,332398,178
Jan 30  2022,249448,127
Jan 31  2022,82657,348
Feb 01  2022,416896,381
Feb 02  2022,315363,276
Feb 03  2022,274352,264
Feb 04  2022,241049,355
Feb 05  2022,214542,170
Feb 06  2022,155439,129
Feb 07  2022,46001,417
Feb 08  2022,235267,691
Feb 09  2022,179614,283
Feb 10  2022,153025,310
Feb 11  2022,131376,329
Feb 12  2022,118611,161
Feb 13  2022,86562,107
Feb 14  2022,26475,385
Feb 15  2022,142253,390
Feb 16  2022,98735,276
Feb 17  2022,92345,287
Feb 18  2022,82553,304
Feb 19  2022,76638,148
Feb 20  2022,59003,114
Feb 21  2022,17195,283
Feb 22  2022,97382,285
Feb 23  2022,66833,213
Feb 24  2022,66732,281
Feb 25  2022,58138,188
Feb 26  2022,53623,101
Feb 27  2022,42600,76
Feb 28  2022,13483,232
Mar 01  2022,79794,209
Mar 02  2022,57697,186
Mar 03  2022,60225,180
Mar 04  2022,57789,181
Mar 05  2022,53678,120
Mar 06  2022,45328,32
Mar 07  2022,14496,176
Mar 08  2022,93050,167
Mar 09  2022,69190,155
Mar 10  2022,74818,107
Mar 11  2022,72399,149
Mar 12  2022,72443,51
Mar 13  2022,60422,29
Mar 14  2022,18853,185
Mar 15  2022,116618,146
Mar 16  2022,108832,173
Mar 17  2022,101747,116
Mar 18  2022,97579,112
Mar 19  2022,98104,62
Mar 20  2022,81283,30
Mar 21  2022,24179,152
Mar 22  2022,180777,133
Mar 23  2022,145560,101
Mar 24  2022,148635,124
Mar 25  2022,143571,121
Mar 26  2022,139517,67
Mar 27  2022,110174,41
Mar 28  2022,29455,149
Mar 29  2022,217480,164
Mar 30  2022,169024,149
Mar 31  2022,169311,139
Apr 01  2022,148629,134
Apr 02  2022,132114,68
Apr 03  2022,102266,31
Apr 04  2022,27648,149
Apr 05  2022,203021,129
